subdivision,attenuation_db_per_mm,phase_velocity_fraction_c,complex_residual_rms,runtime_s,peak_device_memory_bytes,time_step_s
7,7.326282382989126,0.848985906013241,0.014966800120858223,616.5778397140093,604761088,3e-06
8,7.15032136386949,0.8559468483743514,0.003468971361842568,413.1169354079757,1800006144,3e-06
9,7.108970495777067,0.8576611444154011,0.000990316555863357,1991.5883592129976,7164262912,2.9e-06
