placement,represented_centroid_m,radial_support_planes,trace_relative_rms_from_nearest,quarter_east_west_relative_rms,path_ab_mae_db_per_mm,path_apbp_mae_db_per_mm,path_ab_max_error_db_per_mm,path_apbp_max_error_db_per_mm,path_ab_phase_mae_fraction_c,path_apbp_phase_mae_fraction_c,path_ab_phase_max_error_fraction_c,path_apbp_phase_max_error_fraction_c
nearest_plane,0.0,1,0.0,0.082197451270,0.387016189578,0.589614582308,1.746522788208,2.019798803144,0.019720526133,0.014641259787,0.082970596062,0.096501312280
linear_staggered,2500.0,2,0.000549599748,0.082151325320,0.386878487976,0.589474838749,1.745780273537,2.015993574990,0.019718774325,0.014643352055,0.082940237298,0.096463819470
