case,refinement,polarization,subdivision,radial_cells,analytic_frequency_hz,measured_frequency_hz,relative_frequency_error,maximum_leakage,relative_energy_variation,maximum_pec_residual,time_step_s
A4,asymptotic,TE,2,16,1498.9991275391951,1496.6881296750548,-0.0015416939354288006,0.00041214784849623207,0.0007198235718340263,0.0,4.169509592757328e-06
A4,asymptotic,TE,3,32,1498.9991275391951,1498.4212440438134,-0.0003855128964153076,0.00044057981093398833,0.000143560399333062,0.0,2.0847513088643792e-06
A4,asymptotic,TE,4,64,1498.9991275391951,1498.8546481252774,-9.638392128674678e-05,0.00035237687191562916,9.418000029453408e-07,0.0,1.0423751275239912e-06
