cells,time_step_s,analytic_decay_per_s,measured_decay_per_s,relative_decay_error,analytic_frequency_hz,measured_frequency_hz,relative_frequency_error
64,0.00036853974011713016,282.35226684325477,283.37804988567206,0.0036329902850991136,71.90715715024776,71.50229069889502,-0.005630405475588129
128,0.00018426987005856508,282.35226684325477,282.60745905684604,0.000903807915000554,71.90715715024776,71.8063320703688,-0.0014021563899165868
256,9.213493502928254e-05,282.35226684325477,282.4159871188428,0.00022567651501592678,71.90715715024776,71.88197521398759,-0.00035020069292335254
512,4.606746751464127e-05,282.35226684325477,282.36819205986205,5.64019435200791e-05,71.90715715024776,71.90086318496569,-8.752905178710524e-05
