frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
50.8626302083,5,1.04756749674,0.771378795827,0.00314786817877,0.00136425810812,1.38194348746e-06,-1.20605665095e-07,1.57402671682e-08
61.03515625,5,1.23702276653,0.779149968583,0.00182466667987,0.00148963266632,1.64179212666e-06,-1.42417509096e-07,1.05863680047e-08
71.2076822917,5,1.42355299356,0.785671650409,-0.000376973093292,0.0015235863142,1.8995246472e-06,-1.63892595103e-07,6.3775289521e-09
81.3802083333,5,1.60853398345,0.791281848366,-0.00249564358218,0.00149728987937,2.15549370775e-06,-1.85189318594e-07,5.6268630314e-09
91.552734375,5,1.79285218694,0.796212593132,-0.00395349092159,0.00144412206709,2.40991343569e-06,-2.06409735979e-07,4.5551734174e-09
101.725260417,5,1.97697310866,0.800623966744,-0.00452472981763,0.00138807094426,2.66292778516e-06,-2.27607440463e-07,4.31267790913e-09
111.897786458,5,2.16107466175,0.804627378192,-0.00422384787205,0.00134317131516,2.91464627071e-06,-2.48802915049e-07,3.58400033587e-09
122.0703125,5,2.34516391464,0.808301432818,-0.00320223136287,0.00131591675521,3.16516149043e-06,-2.69996973524e-07,2.99543384914e-09
132.242838542,5,2.52916131817,0.811702582285,-0.00167271362083,0.00130784885128,3.41455726389e-06,-2.9118045745e-07,2.25636115834e-09
142.415364583,5,2.71295585938,0.814872256212,0.000139607713579,0.00131759627719,3.66291195505e-06,-3.12340585989e-07,2.71252020851e-09
152.587890625,5,2.89643841636,0.8178416047,0.00202651671528,0.00134229469823,3.91029961228e-06,-3.33464796014e-07,2.10366944643e-09
162.760416667,5,3.07951993553,0.820634680635,0.00381181469372,0.00137850918451,4.1567900686e-06,-3.54542834856e-07,1.92117508657e-09
172.932942708,5,3.26213957126,0.823270576295,0.00535718331658,0.00142279352959,4.40244869114e-06,-3.75567697402e-07,1.56781088718e-09
183.10546875,5,3.444266551,0.825764860088,0.00656234224605,0.00147200321153,4.64733610886e-06,-3.96535840831e-07,1.11201374241e-09
193.277994792,5,3.62589829397,0.828130549773,0.00736184401428,0.00152344558538,4.8915080279e-06,-4.17446968021e-07,1.1939833606e-09
203.450520833,5,3.80705666738,0.8303787756,0.00772027303011,0.001574929036,5.13501517418e-06,-4.38303596525e-07,8.98420664889e-10
213.623046875,5,3.98778336416,0.832519230029,0.00762682198135,0.0016247512849,5.37790339512e-06,-4.5911052642e-07,1.02990077699e-09
223.795572917,5,4.16813530048,0.834560481927,0.00709000686485,0.00167165567037,5.62021384417e-06,-4.79874310423e-07,9.53739239053e-10
233.968098958,5,4.34818028605,0.836510193081,0.00613279365592,0.00171477176746,5.86198326755e-06,-5.00602755416e-07,1.01847851055e-09
244.140625,5,4.5279932371,0.838375274831,0.00478837553966,0.00175355206698,6.10324432177e-06,-5.21304486446e-07,9.0610743885e-10
254.313151042,5,4.70765300669,0.840161998897,0.00309662615658,0.00178771059556,6.34402594175e-06,-5.4198858181e-07,8.52241586647e-10
