grid,degree,mode_count,eigenvalue_relative_error_mean,eigenvalue_relative_error_max_abs,wavenumber_relative_error_mean,wavenumber_relative_error_max_abs,eigenfunction_residual_mean,eigenfunction_residual_max
native-l6,22,3,-0.0113234775716,0.0114974706457,-0.00567786551865,0.00576535498189,0.00330218092504,0.00358300592361
native-l6,23,3,-0.0123048249554,0.0125431299455,-0.00617147037344,0.00629135555007,0.00372772814411,0.00459030832443
native-l6,24,3,-0.0133611918764,0.0136333497151,-0.00670308034693,0.00684006812352,0.00370289263427,0.00424282696633
native-l6,25,3,-0.01447383064,0.0149410221099,-0.00726331768498,0.00749862574903,0.00398740415824,0.0048344963656
native-l6,26,3,-0.0156170248792,0.0159468360078,-0.0078392671147,0.0080054617125,0.00374644718847,0.00381695489134
native-l6,27,3,-0.0168318665269,0.0171697715548,-0.00845167772026,0.00862205569966,0.00410057189454,0.00459588738265
native-l6,28,3,-0.0181220055789,0.0184366056032,-0.00910245533191,0.00926118759947,0.00413878928549,0.00442370889396
native-l6,29,3,-0.0194133041453,0.0197471589792,-0.00975425321208,0.00992281057446,0.004588351739,0.00548221147438
native-l6,30,3,-0.0207351154509,0.0211905282121,-0.0104219006249,0.0106519966221,0.00458560427885,0.00519609521794
native-l6,31,3,-0.0220820390795,0.0224986795836,-0.0111026988686,0.0113133355727,0.00497857511801,0.00606256287551
native-l6,32,3,-0.0234829245256,0.0239392610255,-0.011811268596,0.0120421370451,0.00479911913653,0.00522410863721
native-l6,33,3,-0.0249623167139,0.0254227902295,-0.0125600906487,0.012793228462,0.00515923334875,0.00600110832883
native-l6,34,3,-0.0264526653353,0.0269490606051,-0.013315041087,0.0135665560237,0.00505592989602,0.00538461769717
native-l6,35,3,-0.0279958448323,0.0287175720685,-0.0140973637266,0.0144633807252,0.00557328525365,0.00663743905885
native-l6,36,3,-0.0295894977336,0.0301289712388,-0.0149059170033,0.0151796972233,0.00553258428964,0.00619178311005
native-l6,37,3,-0.0312201460328,0.031782171102,-0.0157339328268,0.0160193960763,0.00608159302588,0.0075226292161
native-l6,38,3,-0.0328550645856,0.0334772313929,-0.0165648291026,0.0168811014902,0.0059394536936,0.00677686921824
native-l6,39,3,-0.0344966444092,0.0352139184445,-0.0173998324559,0.0177647524368,0.00632420675229,0.00760864453918
native-l6,40,3,-0.0362701106084,0.0370016478673,-0.0183026845747,0.0186752055855,0.00618458164669,0.00687087019126
native-l6,41,3,-0.0380847866371,0.0388112115164,-0.0192273764152,0.0195976394951,0.00662624448515,0.00786044933847
native-l6,42,3,-0.0399523113891,0.040671323659,-0.020179904541,0.0205467462196,0.00651127041956,0.00718374777401
native-l6,43,3,-0.0418360488757,0.0425720748806,-0.0211416504219,0.0215175396976,0.00709829712975,0.00860999723106
native-l6,44,3,-0.0437156031909,0.0445132051906,-0.0221022219464,0.0225099515548,0.00705640496226,0.00814646447799
native-l6,45,3,-0.045638706078,0.0467200278123,-0.0230860316321,0.0236394251161,0.00757418826001,0.00937191890782
native-l6,46,3,-0.0475625762181,0.0485155374203,-0.0240712386258,0.024559349535,0.00736146602618,0.00837696819007
native-l6,47,3,-0.04960653935,0.0505761937985,-0.0251189989291,0.0256161915336,0.00781605852362,0.00939398084183
