frequency_hz,azimuth_deg,phase_velocity_fraction_c,azimuth_mean_fraction_c,relative_deviation_from_azimuth_mean,bannister_fraction_c
50.862630208333,0.000000,0.771087570067,0.771098790513,-1.455124212302e-05,0.780880649359
50.862630208333,30.000000,0.771104282605,0.771098790513,7.122423170756e-06,0.780880649359
50.862630208333,60.000000,0.771115766857,0.771098790513,2.201578420196e-05,0.780880649359
50.862630208333,90.000000,0.771096405219,0.771098790513,-3.093369512249e-06,0.780880649359
50.862630208333,120.000000,0.771115766857,0.771098790513,2.201578420138e-05,0.780880649359
50.862630208333,150.000000,0.771104282605,0.771098790513,7.122423170900e-06,0.780880649359
50.862630208333,180.000000,0.771087570067,0.771098790513,-1.455124212288e-05,0.780880649359
50.862630208333,210.000000,0.771110485017,0.771098790513,1.516602544382e-05,0.780880649359
50.862630208333,240.000000,0.771093869187,0.771098790513,-6.382224947894e-06,0.780880649359
50.862630208333,270.000000,0.771065133468,0.771098790513,-4.364816198114e-05,0.780880649359
50.862630208333,300.000000,0.771093869187,0.771098790513,-6.382224948038e-06,0.780880649359
50.862630208333,330.000000,0.771110485017,0.771098790513,1.516602544411e-05,0.780880649359
61.035156250000,0.000000,0.778754022494,0.778765441418,-1.466285302313e-05,0.788802592412
61.035156250000,30.000000,0.778774732318,0.778765441418,1.193029388965e-05,0.788802592412
61.035156250000,60.000000,0.778777448363,0.778765441418,1.541792291708e-05,0.788802592412
61.035156250000,90.000000,0.778777773731,0.778765441418,1.583572271715e-05,0.788802592412
61.035156250000,120.000000,0.778777448363,0.778765441418,1.541792291651e-05,0.788802592412
61.035156250000,150.000000,0.778774732318,0.778765441418,1.193029388936e-05,0.788802592412
61.035156250000,180.000000,0.778754022494,0.778765441418,-1.466285302284e-05,0.788802592412
61.035156250000,210.000000,0.778781686562,0.778765441418,2.086012550309e-05,0.788802592412
61.035156250000,240.000000,0.778753946818,0.778765441418,-1.476002802405e-05,0.788802592412
61.035156250000,270.000000,0.778723850168,0.778765441418,-5.340664524472e-05,0.788802592412
61.035156250000,300.000000,0.778753946818,0.778765441418,-1.476002802419e-05,0.788802592412
61.035156250000,330.000000,0.778781686562,0.778765441418,2.086012550323e-05,0.788802592412
