grid,degree,tm_eigenvalue_error,te_eigenvalue_error,tm_wavenumber_error,te_wavenumber_error,tm_residual,te_residual,polarization_splitting
native-l6,57,-0.0732106483658,-0.0246391375187,-0.0373010067346,-0.0123964041776,0.0138559940609,0.187705241862,0.0485715108471
native-l6,58,-0.0756831240893,-0.0255234378265,-0.0385860018126,-0.0128442057236,0.0139509054646,0.186214939318,0.0501596862629
native-l6,59,-0.078191362565,-0.0264226681697,-0.0398913408187,-0.0132997761071,0.0140483027947,0.184761775185,0.0517686943953
native-l6,60,-0.0807712224783,-0.0272777145888,-0.0412358071341,-0.0137331570963,0.014653391946,0.183241738133,0.0534935078895
native-l6,61,-0.0833137683612,-0.0282657831503,-0.0425626748247,-0.0142341977682,0.0142504036331,0.181959537092,0.0550479852109
native-l6,62,-0.0859272453215,-0.0292095985249,-0.0439284782619,-0.0147130359763,0.0143550308156,0.180607087005,0.0567176467965
native-l6,63,-0.088575104445,-0.0301682054125,-0.0453142425096,-0.015199616883,0.0144619911094,0.179285005549,0.0584068990325
native-l6,64,-0.0912569901946,-0.0311415678313,-0.0467198681366,-0.015693933693,0.0145712454843,0.177991853033,0.0601154223633
native-l6,65,-0.0937327930529,-0.0324181942866,-0.0480193242785,-0.0163426380526,0.0142754906674,0.17670475343,0.0613145987663
native-l6,66,-0.0967213993845,-0.0331324126478,-0.0495902985473,-0.0167057473207,0.0147964781002,0.175487000936,0.0635889867367
native-l6,67,-0.0995031919196,-0.0341498203987,-0.0510548972251,-0.0172232300256,0.0149123759256,0.174272828534,0.0653533715209
native-l6,68,-0.10231754941,-0.03518183439,-0.0525389450803,-0.0177484204085,0.0150304069571,0.173082628429,0.0671357150204
native-l6,69,-0.10516409691,-0.0362284159653,-0.0540423354661,-0.0182813111513,0.0151505296752,0.171915334396,0.0689356809443
native-l6,70,-0.108175631855,-0.0371153662994,-0.0556354686111,-0.0187331485775,0.0157468403203,0.170762199251,0.0710602655553
native-l6,71,-0.110952243873,-0.038365124591,-0.0571067101058,-0.0193701639206,0.0153968814038,0.169645494208,0.0725871192816
native-l6,72,-0.11389307539,-0.0394551716826,-0.0586674739445,-0.0199261107868,0.0155230246967,0.168541098341,0.0744379037073
native-l6,73,-0.116864561171,-0.0405596264438,-0.060247139494,-0.0204897276924,0.0156510882586,0.167455901971,0.076304934727
native-l6,74,-0.11986630866,-0.0416784475823,-0.0618455930178,-0.0210610067948,0.0157810279428,0.166389100094,0.0781878610776
native-l6,75,-0.122628886578,-0.0431502827975,-0.0633190973323,-0.0218130458841,0.0155337664126,0.165365224098,0.0794786037802
native-l6,76,-0.125959002132,-0.0439590212133,-0.0650984020398,-0.0222265196955,0.0160463566779,0.164307669342,0.0819999809183
native-l6,77,-0.129049146823,-0.0451206885183,-0.0667525230804,-0.0228207372842,0.0161816550833,0.163291632118,0.083928458305
native-l6,78,-0.132167950796,-0.0462965518294,-0.0684249631918,-0.0234225846506,0.0163186483656,0.162291167897,0.0858713989664
native-l6,79,-0.135315005777,-0.0474865672629,-0.0701156016885,-0.0240320534274,0.0164572901622,0.161305658917,0.087828438514
native-l6,80,-0.138489995534,-0.0486612320124,-0.0718243676622,-0.0246340338173,0.0170244565309,0.160479744402,0.089828763522
native-l6,81,-0.141692221207,-0.0499088764023,-0.0735509842451,-0.0252738212207,0.0167393320212,0.159377188025,0.0917833448044
native-l6,82,-0.14492155088,-0.0511410797869,-0.0752954801017,-0.0259061029792,0.0168826376133,0.158433137593,0.0937804710927
native-l6,83,-0.14817747017,-0.0523872546554,-0.0770576779503,-0.0265459716327,0.0170274028335,0.157501862068,0.0957902155142
native-l6,84,-0.151459557053,-0.0536473545829,-0.0788374503122,-0.0271934182906,0.0171735797376,0.156582880785,0.0978122024697
native-l6,85,-0.154478207412,-0.0553119856197,-0.080477410507,-0.0280493765729,0.0168799210727,0.155638158514,0.0991662217924
native-l6,86,-0.158100533039,-0.0562091414078,-0.0824492019724,-0.0285110095363,0.0174699756776,0.154779991294,0.101891391631
native-l6,87,-0.161458565876,-0.057510732955,-0.0842809196463,-0.0291811358214,0.0176200977632,0.153895230997,0.103947832921
native-l6,88,-0.164841053938,-0.0588260588652,-0.086129688598,-0.029858803506,0.0177714376856,0.153021058451,0.106014995073
native-l6,89,-0.168247563475,-0.0601550702268,-0.0879953747238,-0.0305440031785,0.0179239465987,0.152157095273,0.108092493248
native-l6,90,-0.171822625808,-0.0612762321201,-0.0899574877004,-0.0311224185275,0.0185346918436,0.151506500941,0.110546393687
native-l6,91,-0.175130901567,-0.0628539512084,-0.0917769555705,-0.0319369603215,0.0182322755269,0.150458368758,0.112276950359
native-l6,92,-0.178606852468,-0.064223720563,-0.0936925755945,-0.0326446984499,0.0183879974377,0.14962293124,0.114383131905
native-l6,93,-0.182105069699,-0.0656069748427,-0.0956245634135,-0.0333599298822,0.0185446921783,0.148796353067,0.116498094856
native-l6,94,-0.185625109858,-0.0670036627084,-0.0975727784791,-0.0340826446887,0.0187023106327,0.147978333455,0.11862144715
native-l6,95,-0.188846892183,-0.0688802732343,-0.0993596123773,-0.0350545472589,0.0184097848721,0.147041702331,0.119966618948
native-l6,96,-0.192728877035,-0.0698371314513,-0.101517321834,-0.0355504841887,0.0190201223143,0.146366832127,0.122891745584
native-l6,97,-0.19631170919,-0.0712738072689,-0.103513362726,-0.036295588507,0.0191802174671,0.145572812246,0.125037901921
native-l6,98,-0.199914574715,-0.0727237065583,-0.105525056089,-0.0370481354493,0.0193410402248,0.144786273383,0.127190868157
native-l6,99,-0.203537022659,-0.0741867756146,-0.10755225512,-0.037808114571,0.0195025417485,0.144006974523,0.129350247045
native-l6,100,-0.207237078787,-0.0755424850664,-0.109627650243,-0.0385128628351,0.0201246334278,0.143484470475,0.131694593721
native-l7,1,-9.93596694177e-06,0.000100126667472,-4.9679958114e-06,5.00620806303e-05,0.00867503718078,3.10411780102,0.000110062634414
native-l7,2,-3.19098787734e-05,0.000127323212519,-1.59550666688e-05,6.36595799886e-05,0.0467956449907,2.07368042218,0.000159233091293
native-l7,3,-6.48095037251e-05,0.000132373388616,-3.24052769135e-05,6.61845041139e-05,0.0368555103065,1.56369691452,0.000197182892342
native-l7,4,-0.000109245885642,0.000122675652208,-5.46244347355e-05,6.1335945055e-05,0.0287726368905,1.24477404646,0.00023192153785
native-l7,5,-0.000143948269467,4.09818223612e-05,-7.19767250579e-05,2.04907012462e-05,0.0273386435276,0.875992386633,0.000184930091828
native-l7,6,-0.000232833435408,8.94826993725e-05,-0.000116423494919,4.47403488368e-05,0.0201839756142,0.90175733186,0.00032231613478
native-l7,7,-0.000311965131828,6.71405644954e-05,-0.000155994733092,3.35697187848e-05,0.0177326993605,0.799606493657,0.000379105696323
native-l7,8,-0.00040265747446,4.07693746238e-05,-0.000201349007942,2.03844795483e-05,0.0159270288026,0.721158617051,0.000443426849084
native-l7,9,-0.000504915023327,1.03107608709e-05,-0.000252489387109,5.15536714651e-06,0.0145692678784,0.658811250411,0.000515225784198
native-l7,10,-0.000622539549142,1.14979884991e-06,-0.000311318234093,5.74899259753e-07,0.016466550737,0.627602008582,0.000623689347992
native-l7,11,-0.000744132771244,-6.28605984169e-05,-0.000372135628085,-3.14307931558e-05,0.0127304113938,0.565765508042,0.000681272172827
native-l7,12,-0.000881089892369,-0.00010553108104,-0.000440642028883,-5.27669326946e-05,0.0121003253231,0.53012932339,0.000775558811329
native-l7,13,-0.00102960683689,-0.000152227216555,-0.000514935997988,-7.61165051388e-05,0.0115981626785,0.499671825203,0.000877379620339
native-l7,14,-0.00118967733946,-0.000202929601419,-0.000595015691566,-0.000101469948785,0.0111919536842,0.473358883711,0.00098674773804
native-l7,15,-0.00132129852594,-0.000302489514594,-0.000660867635985,-0.000151256196515,0.0106122293631,0.450270294048,0.00101880901135
native-l7,16,-0.00154444853217,-0.000316295461449,-0.000772522661715,-0.000158160238055,0.0105811826235,0.430240498718,0.00122815307072
native-l7,17,-0.00173913204117,-0.000378938995956,-0.000869944422234,-0.000189487450725,0.0103474724868,0.412373743814,0.00136019304521
