frequency_hz,model,attenuation_db_per_mm,phase_velocity_fraction_c,beta_real,beta_imag,eigen_residual,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
223.795572917,pec,3.96172804752,0.842531933283,5.56703928841e-06,-4.56110797236e-07,3.62359789895e-13,4.1130165511,0.846519511465
233.968098958,pec,4.13442661006,0.844386275747,5.80730513488e-06,-4.7599345402e-07,2.68324584913e-13,4.28610002351,0.848537292766
244.140625,pec,4.30741647487,0.846163322618,6.04707034547e-06,-4.95909648217e-07,3.27583953905e-13,4.45869436957,0.85047208909
254.313151042,pec,4.48072486708,0.847869792855,6.28635382601e-06,-5.15862514237e-07,3.58355610251e-13,4.63082315738,0.852330581578
264.485677083,pec,4.65437325677,0.849511565117,6.52517296355e-06,-5.35854523914e-07,2.50455713492e-13,4.80250792058,0.854118671629
274.658203125,pec,4.82837855195,0.851093804797,6.76354385984e-06,-5.55887623853e-07,2.06730369073e-13,4.97376840545,0.855841597977
284.830729167,pec,5.00275412752,0.852621069549,7.00148151556e-06,-5.75963353897e-07,2.65243338314e-13,5.14462278011,0.857504032558
295.003255208,pec,5.17751070248,0.854097397411,7.23899997543e-06,-5.96082948117e-07,2.134557936e-13,5.31508781254,0.859110159626
305.17578125,pec,5.3526570778,0.855526380718,7.47611244222e-06,-6.16247419763e-07,2.5783472412e-13,5.48517902309,0.860663741506
315.348307292,pec,5.52820074771,0.856911228337,7.71283136645e-06,-6.36457631637e-07,1.74163415122e-13,5.65491081585,0.862168173618
325.520833333,pec,5.70414839713,0.858254818252,7.94916851702e-06,-6.56714353373e-07,1.36391736057e-13,5.82429659239,0.863626530797
335.693359375,pec,5.88050629821,0.85955974209,8.18513503713e-06,-6.77018307076e-07,1.69278827454e-13,5.99334885069,0.865041606521
345.865885417,pec,6.05728061834,0.860828342941,8.42074148879e-06,-6.97370202793e-07,1.37534929713e-13,6.16207927169,0.866415946307
356.038411458,pec,6.23447765192,0.86206274753,8.65599788897e-06,-7.17770765195e-07,1.25706011381e-13,6.3304987951,0.867751876285
366.2109375,pec,6.4121039872,0.863264893636,8.89091373925e-06,-7.38220752783e-07,1.75815646095e-13,6.49861768636,0.869051527772
376.383463542,pec,6.59016661877,0.864436553503,9.12549805086e-06,-7.58720970836e-07,2.36516289815e-13,6.66644559576,0.870316858486
386.555989583,pec,6.7686730153,0.865579353867,9.35975936642e-06,-7.79272279219e-07,1.02594106452e-13,6.83399161096,0.871549670954
396.728515625,pec,6.94763115118,0.8666947931,9.59370577922e-06,-7.99875596017e-07,1.70535114709e-13,7.00126430373,0.872751628529
406.901041667,pec,7.12704950961,0.867784255936,9.82734495089e-06,-8.20531897892e-07,1.50002194367e-13,7.16827177176,0.873924269402
417.073567708,pec,7.30693706355,0.86884902612,1.0060684128e-05,-8.41242217899e-07,1.6588962662e-13,7.33502167606,0.875069018877
427.24609375,pec,7.48730324049,0.869890297313,1.02937301577e-05,-8.62007641413e-07,1.05772903375e-13,7.5015212746,0.876187200189
437.418619792,pec,7.66815787523,0.870909182502,1.05264895034e-05,-8.82829300712e-07,6.67155089745e-14,7.66777745263,0.877280044044
447.591145833,pec,7.84951115513,0.871906722151,1.07589682592e-05,-9.03708368655e-07,8.1309564178e-14,7.83379675002,0.878348697075
457.763671875,pec,8.03137356049,0.872883891271,1.09911721653e-05,-9.24646051833e-07,7.9184887086e-14,7.99958538611,0.879394229348
