frequency_hz,bannister_fraction_c,level_5_azimuth_mean_fraction_c,level_5_relative_spread,level_6_azimuth_mean_fraction_c,level_6_relative_spread,level_7_azimuth_mean_fraction_c,level_7_relative_spread
50.862630208333,0.780880649359,0.768574751025,1.017576795175e-03,0.770618420242,2.987902792768e-04,0.771098790513,6.566394555794e-05
61.035156250000,0.788802592412,0.775092751370,1.473575085022e-03,0.778060473478,3.611320425311e-04,0.778765441417,7.426677010045e-05
71.207682291667,0.795531989764,0.780821231184,1.479414397131e-03,0.784859697944,2.635800902276e-04,0.785823607480,5.550454782071e-05
81.380208333333,0.801385337164,0.785370198491,1.900482709768e-03,0.790626413491,2.401340225425e-04,0.791886426014,5.915324276456e-05
91.552734375000,0.806567416068,0.788574147678,2.162787727727e-03,0.795093803440,3.095971870675e-04,0.796657197818,7.811332800414e-05
101.725260416667,0.811218439767,0.791009865329,1.678848287750e-03,0.798999226685,2.814009945078e-04,0.800912286362,6.429363848808e-05
111.897786458333,0.815438670079,0.792724992229,1.756106289881e-03,0.802437134352,4.102033653588e-04,0.804760416259,8.658475192390e-05
122.070312500000,0.819302308791,0.794198118252,2.391069219831e-03,0.805742849868,5.188840944337e-04,0.808494854530,1.219308131001e-04
132.242838541667,0.822865826849,0.794956984143,2.890006902043e-03,0.808465186280,6.029034153500e-04,0.811669437569,1.403207583387e-04
142.415364583333,0.826173208048,0.794898896634,3.493560217230e-03,0.810656905380,7.259083036171e-04,0.814380916346,1.679900550884e-04
152.587890625000,0.829259385378,0.794331112075,4.143233991429e-03,0.812654902960,8.891017138618e-04,0.816970821245,2.083454434036e-04
162.760416666667,0.832152569967,0.793408072176,4.821405758460e-03,0.814577748059,1.032789769920e-03,0.819522908423,2.428138700637e-04
172.932942708333,0.834875875287,0.792274312929,5.525464512178e-03,0.816364924797,1.156230116372e-03,0.821923357251,2.708141641631e-04
183.105468750000,0.837448478134,0.790608653022,6.298160695515e-03,0.817644837677,1.240096619310e-03,0.823865149983,2.879104826864e-04
193.277994791667,0.839886466501,0.788425475042,7.448245354687e-03,0.818709433485,1.400856963524e-03,0.825710785791,3.210725081493e-04
203.450520833333,0.842203470552,0.785737905976,8.840537814416e-03,0.819824950437,1.668190125551e-03,0.827659878793,3.820749913128e-04
213.623046875000,0.844411140122,0.782631367071,1.043336782368e-02,0.820982904359,1.949249481937e-03,0.829581106153,4.439768917928e-04
223.795572916667,0.846519511465,0.779459144591,1.211560021911e-02,0.821843625269,2.194753424546e-03,0.831136469574,4.954208461229e-04
233.968098958333,0.848537292766,0.776059326538,1.365008286964e-02,0.822243784757,2.388141753581e-03,0.832435954440,5.425190786046e-04
244.140625000000,0.850472089090,0.772251026920,1.571700497363e-02,0.822686532286,2.604799947371e-03,0.834000210024,5.965017274826e-04
254.313151041667,0.852330581578,0.767678407065,1.780610190178e-02,0.823352684556,2.860539487122e-03,0.835655770268,6.520575353958e-04
264.485677083333,0.854118671629,0.761947664933,1.895938917704e-02,0.823922804186,3.021456490039e-03,0.836935295547,6.809888853202e-04
274.658203125000,0.855841597977,0.755223195294,1.959748955703e-02,0.823829449734,3.096433271260e-03,0.837777125956,6.896038326908e-04
284.830729166667,0.857504032558,0.747177450690,1.984290707690e-02,0.823372262623,3.286695153394e-03,0.838934269121,7.176294701026e-04
295.003255208333,0.859110159626,0.737149153275,2.128615492440e-02,0.823420357892,3.556134637595e-03,0.840532167788,7.805704803981e-04
305.175781250000,0.860663741506,0.724584415921,2.424014177515e-02,0.823971900822,3.950959803060e-03,0.841631623773,8.582671439572e-04
315.348307291667,0.862168173618,0.710411428576,2.759428905628e-02,0.823985326641,4.378205799740e-03,0.842032591702,9.195161964397e-04
325.520833333333,0.863626530797,0.698843419760,3.414982768270e-02,0.822754500266,4.733581455638e-03,0.842731753274,9.696277573800e-04
335.693359375000,0.865041606521,0.691490833098,3.925129743425e-02,0.821429965850,5.036584570810e-03,0.844476921257,1.058758115816e-03
345.865885416667,0.866415946307,0.686552653252,4.393735157983e-02,0.821644373364,5.558490053675e-03,0.845658194479,1.182156932348e-03
356.038411458333,0.867751876285,0.680644471233,4.849439238846e-02,0.822910556818,6.278462000756e-03,0.845424306936,1.268880861598e-03
366.210937500000,0.869051527772,0.677347026854,4.048712277720e-02,0.822119404992,6.845196476122e-03,0.845445351108,1.331235553576e-03
376.383463541667,0.870316858486,0.683294243724,4.696459489411e-02,0.818731243175,7.208542915877e-03,0.847561795328,1.419312713989e-03
386.555989583333,0.871549670954,0.698145733482,9.158542792653e-02,0.815296382061,7.577548626408e-03,0.849389094718,1.585307978844e-03
396.728515625000,0.872751628529,0.712807740746,1.176369557971e-01,0.816471082689,8.512008582241e-03,0.848206483753,1.704836624925e-03
406.901041666667,0.873924269402,0.729391732822,1.208319999885e-01,0.822941347547,9.570730350929e-03,0.846788443661,1.765860390743e-03
417.073567708333,0.875069018877,0.748125540359,1.169971809410e-01,0.820442668607,9.612231285330e-03,0.849620679241,1.822036374376e-03
427.246093750000,0.876187200189,0.766203745942,1.175079603941e-01,0.812680164130,9.776406161586e-03,0.853462479797,2.005286714427e-03
437.418619791667,0.877280044044,0.784216948035,1.179898728596e-01,0.802628481253,9.979951111991e-03,0.850914345140,2.151478399039e-03
447.591145833333,0.878348697075,0.802271395178,1.182711089829e-01,0.786625569492,9.337471683943e-03,0.846367309790,2.218469990844e-03
457.763671875000,0.879394229348,0.820319880080,1.185795193754e-01,0.843092479830,1.036013339932e-02,0.848731275325,2.399882257456e-03
467.936197916667,0.880417641049,0.838364381357,1.188948614833e-01,0.825629584338,1.098214396262e-02,0.859827787686,2.472048419975e-03
478.108723958333,0.881419868455,0.856404809266,1.192139347215e-01,0.811980461340,1.171152750684e-02,0.854437708199,2.616348852055e-03
488.281250000000,0.882401789280,0.874440561520,1.195364910638e-01,0.799010872702,1.201580452408e-02,0.845201767549,2.739602122125e-03
498.453776041667,0.883364227476,0.892471258238,1.198618745586e-01,0.785557589614,1.234365939710e-02,0.832407390003,2.947033478393e-03
