frequency_hz,bannister_daytime_db_per_mm,level_6_path_ab_db_per_mm,level_6_path_apbp_db_per_mm,level_7_path_ab_db_per_mm,level_7_path_apbp_db_per_mm,level_8_path_ab_db_per_mm,level_8_path_apbp_db_per_mm
50.862630208333,1.049713439763,1.285369379931,1.283378858013,1.281871903286,1.280426804885,1.280820081822,1.279336650238
61.035156250000,1.240681183848,1.479484211764,1.478905815339,1.474213444475,1.472712178326,1.472652471601,1.470699119063
71.207682291667,1.429300870239,1.667016711859,1.668525266550,1.659133039971,1.658325296579,1.656841040209,1.655168166607
81.380208333333,1.615962186204,1.839994827209,1.840396467285,1.827854434468,1.827179942507,1.824416447473,1.823084183896
91.552734375000,1.800949208580,2.025382117024,2.025773635353,2.010488697918,2.009799563163,2.006236737776,2.004806218045
101.725260416667,1.984477665240,2.211019055830,2.212198813252,2.193021065333,2.192536709566,2.187888370173,2.186415995361
111.897786458333,2.166716608626,2.392932687393,2.391700932893,2.368160011792,2.366873318036,2.361262656672,2.359264612409
122.070312500000,2.347801858577,2.569498391907,2.568243932981,2.536847427349,2.536008084223,2.527872030243,2.526316995381
132.242838541667,2.527844770214,2.751688455836,2.751373413308,2.713003604563,2.712532128840,2.702375943795,2.700875892552
142.415364583333,2.706938189245,2.941029566440,2.941244899097,2.896517300561,2.896629421744,2.884274264555,2.883246518926
152.587890625000,2.885160634295,3.117082223689,3.119004184285,3.066094687155,3.066800451605,3.052181454953,3.051357338904
162.760416666667,3.062579317571,3.294377391009,3.297709976579,3.235120370710,3.236299825582,3.219136804184,3.218404721786
172.932942708333,3.239252379214,3.485250735430,3.489735459594,3.415416076864,3.417132598432,3.396684737922,3.396174721834
183.105468750000,3.415230574353,3.686625218430,3.692083981370,3.603084542855,3.604960772762,3.580778683542,3.580034358654
193.277994791667,3.590558569962,3.873858749223,3.880217392351,3.773837537791,3.776362567923,3.747652524417,3.747272837712
203.450520833333,3.765275957599,4.056045813985,4.063038981325,3.942997145253,3.945447359459,3.913812540867,3.913062071234
213.623046875000,3.939418055395,4.262311959254,4.273075648302,4.134732945316,4.138270105103,4.101477730513,4.101217751192
223.795572916667,4.113016551100,4.479385319610,4.495732449433,4.325646966066,4.330544005879,4.285865122445,4.285770787458
233.968098958333,4.286100023512,4.679649981004,4.697704613963,4.494248097152,4.500234216488,4.448132136667,4.448525028642
244.140625000000,4.458694369565,4.865634683954,4.883644318536,4.665507486790,4.671715893238,4.616431367178,4.616968917988
254.313151041667,4.630823157384,5.090490829677,5.110487201260,4.874018433129,4.880541455005,4.818793674586,4.819250495354
264.485677083333,4.802507920577,5.341201152241,5.363197535281,5.068427113088,5.076117963946,4.999770881916,5.000817824024
274.658203125000,4.973768405447,5.546461477438,5.569492562511,5.223096301684,5.230655841875,5.147975869267,5.148568846957
284.830729166667,5.144622780109,5.721108117153,5.747119543191,5.404092223307,5.412832880217,5.330649034156,5.332030401325
295.003255208333,5.315087812540,5.960488740990,5.987702945394,5.636761503914,5.645620785265,5.551319614708,5.552237722546
305.175781250000,5.485179023091,6.269779062185,6.296000871958,5.824185852433,5.833590216713,5.713265567961,5.714859744966
315.348307291667,5.654910815850,6.486256546900,6.513386328927,5.949127739279,5.958109752666,5.841521310233,5.842682766221
325.520833333333,5.824296592385,6.612644837763,6.643767655269,6.161257988010,6.170667837262,6.066044098847,6.067455543973
335.693359375000,5.993348850693,6.855307095733,6.892619937535,6.438147567253,6.449216775984,6.303516609662,6.305440794931
345.865885416667,6.162079271688,7.287065078757,7.330359374045,6.580202739387,6.591960179775,6.405244244130,6.406974555128
356.038411458333,6.330498795101,7.598155035187,7.648736704364,6.665066359168,6.679228646991,6.534689986950,6.537760369453
366.210937500000,6.498617686362,7.565410430400,7.623342243150,6.957311091035,6.971520447251,6.851195392217,6.853319050602
376.383463541667,6.666445595764,7.691804759401,7.758515664437,7.307253335707,7.323902744953,7.061656480385,7.065615907246
386.555989583333,6.833991610961,8.303415548303,8.382310702163,7.301556893366,7.318357660390,7.041834958340,7.044531025211
396.728515625000,7.001264303734,9.283384496946,9.376073951015,7.358871172227,7.378404631397,7.261370202556,7.265929388557
406.901041666667,7.168271771763,8.758365075053,8.866107330079,7.858515611085,7.880551776156,7.748077572297,7.752269389923
417.073567708333,7.335021676060,8.283782026577,8.407981479410,8.266560529733,8.290839124548,7.733326186146,7.738623830364
427.246093750000,7.501521274599,8.536673692558,8.677923547812,7.894505121284,7.923139004111,7.601401398717,7.607961979354
437.418619791667,7.667777452625,9.768611144180,9.929990073938,7.994532437556,8.023487079017,8.128869339260,8.134611801744
447.591145833333,7.833796750024,10.071143547956,10.253870554336,9.069885437674,9.104557173670,8.794011116826,8.803054359425
457.763671875000,7.999585386110,8.549171051583,8.752537875533,9.140416054437,9.174347477674,8.122572363047,8.128668182853
467.936197916667,8.165149282118,8.001987440571,8.232328685982,8.218773654788,8.258754565087,8.123018314101,8.134137618080
478.108723958333,8.330494081672,7.889696009330,8.141014167625,8.476975270053,8.517561845950,9.548787263914,9.555946106831
488.281250000000,8.495625169430,7.770509232436,8.056224590290,11.203770600418,11.248248132873,9.226509182883,9.238819936083
498.453776041667,8.660547688123,7.451066716670,7.774728869905,9.027164218149,9.075860051630,8.177826065459,8.187472321067
