frequency_hz,azimuth_deg,attenuation_db_per_mm,beta_rad_per_m,phase_velocity_fraction_c,amplitude_residual_rms,phase_residual_rms_rad,complex_residual_rms,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
50.8626302083,0,1.01411052776,1.38359842532e-06,0.770456140845,0.00268003357998,0.00202743580448,0.00335870216353,1.04971343976,0.780880649359
61.03515625,0,1.2035103884,1.64292455165e-06,0.778612920854,0.00107780025111,0.0023138513714,0.0025529774756,1.24068118385,0.788802592412
71.2076822917,0,1.38788855907,1.89996171959e-06,0.785490912352,0.00213083362766,0.0012091887926,0.00245075645184,1.42930087024,0.795531989764
81.3802083333,0,1.56851648398,2.15513882467e-06,0.791412147416,0.000738879621387,0.00232895303996,0.00244308281011,1.6159621862,0.801385337164
91.552734375,0,1.74293645701,2.40929654129e-06,0.796416461392,0.00129504947006,0.0016784919079,0.00211983261367,1.80094920858,0.806567416068
101.725260417,0,1.91929189751,2.66264425788e-06,0.800709219866,0.000707444562433,0.001005308959,0.00122918079009,1.98447766524,0.811218439767
111.897786458,0,2.09810687945,2.91483609887e-06,0.804574976984,0.000967164709534,0.000794897905738,0.00125208177747,2.16671660863,0.815438670079
122.0703125,0,2.2753911773,3.16536051297e-06,0.808250610739,0.000672724656786,0.00168670696345,0.00181608619394,2.34780185858,0.819302308791
132.242838542,0,2.44377105654,3.4155320218e-06,0.81147093067,0.000335289466025,0.00125953109643,0.00130348791919,2.52784477021,0.822865826849
142.415364583,0,2.6178282139,3.66577818035e-06,0.814235117966,0.000782412259367,0.00127618704097,0.00149692282359,2.70693818925,0.826173208048
152.587890625,0,2.79694256784,3.91491710659e-06,0.81687699195,0.000931645365845,0.00108193693071,0.00142771461357,2.88516063429,0.829259385378
162.760416667,0,2.97453532724,4.1628129621e-06,0.819447359627,0.000910263273532,0.00126510375663,0.00155890434359,3.06257931757,0.832152569967
172.932942708,0,3.14531857006,4.41044134194e-06,0.82177863621,0.000736271997687,0.00300135598535,0.00309062863522,3.23925237921,0.834875875287
183.10546875,0,3.32026857972,4.6583609558e-06,0.823810539399,0.00215456297189,0.00234714844676,0.00318568601172,3.41523057435,0.837448478134
193.277994792,0,3.50097164309,4.90554313758e-06,0.825761209057,0.00152010270575,0.00192877501725,0.00245588716338,3.59055856996,0.839886466501
203.450520833,0,3.68293861538,5.15179702054e-06,0.827673838084,0.00187149270476,0.00307863011597,0.00360387840203,3.7652759576,0.842203470552
213.623046875,0,3.86077758854,5.39728966675e-06,0.829528943249,0.00063746620877,0.00481109175425,0.00485326919662,3.93941805539,0.844411140122
223.795572917,0,4.03364355293,5.6430526492e-06,0.831182812903,0.00286385962415,0.00422985413798,0.00510939951255,4.1130165511,0.846519511465
233.968098958,0,4.21384117587,5.88951880895e-06,0.832599218042,0.000802988601567,0.00367692820682,0.00376256632939,4.28610002351,0.848537292766
244.140625,0,4.40673063378,6.13467645828e-06,0.834079705821,0.00142511258705,0.00395654249108,0.00420549377282,4.45869436957,0.85047208909
254.313151042,0,4.58934172616,6.37795680941e-06,0.835692318959,0.00184688865725,0.00730155416393,0.00753674305595,4.63082315738,0.852330581578
264.485677083,0,4.75609398774,6.6224610299e-06,0.837031712515,0.00267732594154,0.00747172153094,0.00793637283994,4.80250792058,0.854118671629
274.658203125,0,4.93889781282,6.86914644797e-06,0.838009543279,0.00274684818324,0.00494027250825,0.0056542697619,4.97376840545,0.855841597977
284.830729167,0,5.14680644834,7.1133483881e-06,0.83921246824,0.00145748754237,0.00596669059403,0.0061472124667,5.14462278011,0.857504032558
295.003255208,0,5.33086857362,7.35450618732e-06,0.840683368998,0.002920050094,0.00966175317919,0.0100901591676,5.31508781254,0.859110159626
305.17578125,0,5.49086764372,7.59849493301e-06,0.841747145444,0.00325769175661,0.0138450292694,0.0142271570285,5.48517902309,0.860663741506
315.348307292,0,5.67481336986,7.84552432878e-06,0.842418112954,0.00984816280777,0.00808486919824,0.0127411862832,5.65491081585,0.862168173618
325.520833333,0,5.89273060007,8.09022572035e-06,0.843290708647,0.00141810300521,0.00640265666235,0.00656031965801,5.82429659239,0.863626530797
335.693359375,0,6.09486871416,8.33014164598e-06,0.844596990122,0.00992201193097,0.0159245845831,0.0187671216239,5.99334885069,0.865041606521
345.865885417,0,6.24843452233,8.57157213738e-06,0.845680678638,0.009767622214,0.0246550789454,0.0265266871236,6.16207927169,0.866415946307
356.038411458,0,6.40674131248,8.81980976035e-06,0.846051505139,0.0175131593938,0.00863533347204,0.0195096202189,6.3304987951,0.867751876285
366.2109375,0,6.64436279115,9.06971527234e-06,0.846246378522,0.00719631083036,0.00835073488187,0.0110559456655,6.49861768636,0.869051527772
376.383463542,0,6.91492198614,9.30656215509e-06,0.847618481737,0.0141345155608,0.0228299167849,0.0268603032616,6.66644559576,0.870316858486
386.555989583,0,7.02765741683,9.53941162415e-06,0.849278213787,0.0133073113435,0.0353084402554,0.0377627433065,6.83399161096,0.871549670954
396.728515625,0,7.10774946014,9.79456651773e-06,0.848921167704,0.0272059795518,0.0175916670555,0.0324133959525,7.00126430373,0.872751628529
406.901041667,0,7.41285765232,1.00566987784e-05,0.847993503033,0.00872140177935,0.0114402193018,0.0143984928283,7.16827177176,0.873924269402
417.073567708,0,7.83356650664,1.02845553614e-05,0.849936171229,0.0371350525733,0.0156146577017,0.0403535437272,7.33502167606,0.875069018877
427.24609375,0,7.82545434476,1.05003398058e-05,0.852773924747,0.0140335248385,0.0713637127559,0.0726613930687,7.5015212746,0.876187200189
437.418619792,0,7.78221710201,1.07692515558e-05,0.851277019625,0.0617783945259,0.0490731875849,0.0791614292122,7.66777745263,0.877280044044
447.591145833,0,8.14165710739,1.10495353141e-05,0.848978394296,0.0674452059712,0.0536851257303,0.0851241382608,7.83379675002,0.878348697075
457.763671875,0,8.89226188085,1.12845802766e-05,0.850188212071,0.127885790022,0.0735149893918,0.151153303722,7.99958538611,0.879394229348
467.936197917,0,8.71461364011,1.14450789738e-05,0.856893825929,0.0500812115264,0.196764613825,0.20394352726,8.16514928212,0.880417641049
478.108723958,0,8.43233750859,1.17300632879e-05,0.85425096563,0.17991288051,0.109999413243,0.210868902476,8.33049408167,0.881419868455
488.28125,0,8.55747580608,1.20391249586e-05,0.850030073319,0.151250138081,0.151814246195,0.214596296232,8.49562516943,0.88240178928
498.453776042,0,9.54316958786,1.24057828712e-05,0.842092656331,0.147131077947,0.334946563253,0.371521668849,8.66054768812,0.883364227476
50.8626302083,30,1.01442027924,1.38358115443e-06,0.770465758256,0.00260630440509,0.00193938520418,0.00324695036135,1.04971343976,0.780880649359
61.03515625,30,1.20399229845,1.64292923388e-06,0.778610701865,0.000994828801905,0.00228336520053,0.0024908331428,1.24068118385,0.788802592412
71.2076822917,30,1.38868427807,1.89994498897e-06,0.785497829265,0.0021331712853,0.000942397171107,0.00233329491053,1.42930087024,0.795531989764
81.3802083333,30,1.56927392832,2.15511288195e-06,0.791421674239,0.000553645335578,0.00204055857035,0.00211418800268,1.6159621862,0.801385337164
