frequency_hz,bannister_phase_velocity_fraction_c,level_6_path_ab_fraction_c,level_6_path_apbp_fraction_c,level_7_path_ab_fraction_c,level_7_path_apbp_fraction_c,level_8_path_ab_fraction_c,level_8_path_apbp_fraction_c
50.862630208333,0.780880649359,0.770599987355,0.770462182625,0.771096513094,0.771065241560,0.771220880143,0.771213594231
61.035156250000,0.788802592412,0.778101743005,0.777871070727,0.778777822003,0.778723898318,0.778947387823,0.778934596741
71.207682291667,0.795531989764,0.784883279993,0.784738003003,0.785831186033,0.785798962976,0.786068627413,0.786061403133
81.380208333333,0.801385337164,0.790712029436,0.790585535899,0.791909311073,0.791882940629,0.792209085171,0.792203518564
91.552734375000,0.806567416068,0.795235096329,0.795021877553,0.796694410031,0.796647108671,0.797059187201,0.797048570951
101.725260416667,0.811218439767,0.799078846175,0.798863974684,0.800934087522,0.800886523790,0.801397167232,0.801386617764
111.897786458333,0.815438670079,0.802478899396,0.802221810757,0.804771218352,0.804715165389,0.805344243352,0.805331843211
122.070312500000,0.819302308791,0.805833599196,0.805453504113,0.808516820107,0.808431127470,0.809187140867,0.809167538740
132.242838541667,0.822865826849,0.808646082165,0.808179973973,0.811713972503,0.811607690257,0.812478965963,0.812454421834
142.415364583333,0.826173208048,0.810912073238,0.810350815000,0.814444085104,0.814315959988,0.815323450423,0.815293715093
152.587890625000,0.829259385378,0.812916308087,0.812248307778,0.817035483168,0.816881644582,0.818059139936,0.818023191522
162.760416666667,0.832152569967,0.814777453616,0.814028031211,0.819571472209,0.819398561326,0.820760320735,0.820719849162
172.932942708333,0.834875875287,0.816533839812,0.815688436049,0.821962914068,0.821767498273,0.823306759360,0.823260909456
183.105468750000,0.837448478134,0.817848195555,0.816903059393,0.823912689595,0.823694494277,0.825413740247,0.825362496177
193.277994791667,0.839886466501,0.818921093472,0.817869530295,0.825760563853,0.825518922958,0.827452502274,0.827395740321
203.450520833333,0.842203470552,0.820002411882,0.818807785957,0.827698919588,0.827426350699,0.829597202605,0.829533189115
213.623046875000,0.844411140122,0.821121542458,0.819773364009,0.829611573324,0.829302935763,0.831694504137,0.831621841905
223.795572916667,0.846519511465,0.821937129389,0.820486200639,0.831160972902,0.830824686188,0.833422678702,0.833343177525
233.968098958333,0.848537292766,0.822303042188,0.820782808216,0.832448929782,0.832099223810,0.834949303567,0.834866774192
244.140625000000,0.850472089090,0.822736826830,0.821080232333,0.834003437961,0.833627299861,0.836767907183,0.836679438746
254.313151041667,0.852330581578,0.823379825526,0.821564869490,0.835652333495,0.835239958211,0.838621992237,0.838524935455
264.485677083333,0.854118671629,0.823970225834,0.822011366554,0.836937941924,0.836494567313,0.840077033732,0.839972579819
274.658203125000,0.855841597977,0.823997768119,0.821861846212,0.837804079622,0.837326562918,0.841207939467,0.841095742933
284.830729166667,0.857504032558,0.823641856618,0.821336619866,0.838980729048,0.838465463052,0.842751261810,0.842630189994
295.003255208333,0.859110159626,0.823683398338,0.821203703949,0.840579875268,0.840026156317,0.844577317939,0.844447126866
305.175781250000,0.860663741506,0.824183538496,0.821492460666,0.841679778520,0.841088860316,0.845776242571,0.845637694713
315.348307291667,0.862168173618,0.824246443862,0.821292915060,0.842097910915,0.841456469457,0.846500262294,0.846350184728
325.520833333333,0.863626530797,0.823131973906,0.819904706045,0.842806567081,0.842106036121,0.847798822795,0.847634844061
335.693359375000,0.865041606521,0.821823535076,0.818346227823,0.844536089223,0.843775841659,0.849808356529,0.849629853255
345.865885416667,0.866415946307,0.821850599022,0.818084696681,0.845710832216,0.844893638552,0.850810080603,0.850618479881
356.038411458333,0.867751876285,0.822943165022,0.818888938198,0.845488697755,0.844620729009,0.850910500579,0.850707067138
366.210937500000,0.869051527772,0.822356969454,0.817997900585,0.845508311478,0.844582887211,0.852035071898,0.851818101764
376.383463541667,0.870316858486,0.819249572914,0.814590114653,0.847585894753,0.846600656793,0.854569991606,0.854339430851
386.555989583333,0.871549670954,0.815837249333,0.810889167277,0.849419030244,0.848361574663,0.855417648938,0.855171225040
396.728515625000,0.872751628529,0.816187489727,0.810867224478,0.848282339766,0.847160151513,0.854441626170,0.854180492706
406.901041666667,0.873924269402,0.822550988351,0.816820457409,0.846878372926,0.845692665931,0.855371289151,0.855093179152
417.073567708333,0.875069018877,0.821215312395,0.815107136685,0.849637805008,0.848377656013,0.859363288213,0.859067551009
427.246093750000,0.876187200189,0.814028316489,0.807650099466,0.853502259643,0.852171783313,0.859813488074,0.859503589490
437.418619791667,0.877280044044,0.804479678435,0.797878314454,0.851048868563,0.849655015959,0.856973058241,0.856650077499
447.591145833333,0.878348697075,0.790430077799,0.783609898997,0.846532222063,0.845095721979,0.857219455147,0.856883547000
457.763671875000,0.879394229348,0.848098182536,0.839860645329,0.848651738030,0.847131015702,0.865341083807,0.864981457226
467.936197916667,0.880417641049,0.828779879880,0.820339453638,0.859859678973,0.858231431508,0.864189506056,0.863817157514
478.108723958333,0.881419868455,0.815003930548,0.806355574229,0.854652225572,0.852967199339,0.858168116321,0.857782670358
488.281250000000,0.882401789280,0.802246850815,0.793374101212,0.845495132188,0.843767972758,0.854802249242,0.854405000015
498.453776041667,0.883364227476,0.789286245253,0.779963652321,0.832994128105,0.831253177751,0.875549198902,0.875114736356
