subdivision,A_peak_step,Ap_peak_step,B_peak_step,Bp_peak_step,quarter_east_west_relative_rms,path_ab_peak_travel_time_s,path_apbp_peak_travel_time_s,path_ab_peak_velocity_fraction_c,path_apbp_peak_velocity_fraction_c,path_ab_phase_mae_fraction_c,path_apbp_phase_mae_fraction_c,path_ab_phase_max_error_fraction_c,path_apbp_phase_max_error_fraction_c
6,7610,7597,14530,14530,0.015004962920,0.020760000000,0.020799000000,0.803987754989,0.802480205470,0.035728883413,0.038828304698,0.094077982223,0.103400575155
7,7514,7510,14462,14462,0.003892244666,0.020844000000,0.020856000000,0.800747735251,0.800287005829,0.018884512939,0.019529397261,0.050370099371,0.052111049724
8,7490,7489,14450,14450,0.001013985748,0.020880000000,0.020883000000,0.799367135707,0.799252300607,0.014160605117,0.014311621415,0.027599540038,0.027996789265
